"Indexer Manager","Indexer Manager"
"Dashboard","Dashboard"
"Run Log","Run Log"
"Configuration","Configuration"
"Enable Indexer Manager","Enable Indexer Manager"
"Reindex Strategy","Reindex Strategy"
"Standard","Standard"
"Queue","Queue"
"Live Tracking","Live Tracking"
"Track Reindex Runs","Track Reindex Runs"
"Log Failures Only","Log Failures Only"
"Log Retention (days)","Log Retention (days)"
"Notifications","Notifications"
"Email on Reindex Failure","Email on Reindex Failure"
"Notification Email","Notification Email"
"General","General"
